dx_id,kk,ss,bb,pp,log10(period)
536,5,1,1048097,2147483647,46.7
537,5,1,1048164,2147483647,46.7
538,5,1,1048166,2147483647,46.7
539,5,1,1048190,2147483647,46.7
540,5,1,1048205,2147483647,46.7
541,5,1,1048208,2147483647,46.7
542,5,1,1048226,2147483647,46.7
543,5,1,1048228,2147483647,46.7
544,5,1,1048236,2147483647,46.7
545,5,1,1048238,2147483647,46.7
546,5,1,1048277,2147483647,46.7
547,5,1,1048281,2147483647,46.7
548,5,1,1048299,2147483647,46.7
549,5,1,1048300,2147483647,46.7
550,5,1,1048308,2147483647,46.7
551,5,1,1048312,2147483647,46.7
552,5,1,1048353,2147483647,46.7
553,5,1,1048369,2147483647,46.7
554,5,1,1048374,2147483647,46.7
555,5,1,1048416,2147483647,46.7
556,5,1,1048423,2147483647,46.7
557,5,1,1048469,2147483647,46.7
558,5,1,1048478,2147483647,46.7
559,5,1,1048483,2147483647,46.7
560,5,1,1048499,2147483647,46.7
561,5,1,1048518,2147483647,46.7
562,5,1,1048519,2147483647,46.7
563,5,1,1048530,2147483647,46.7
564,5,2,522793,2147483647,46.7
565,5,2,522796,2147483647,46.7
566,5,2,522811,2147483647,46.7
567,5,2,522825,2147483647,46.7
568,5,2,522826,2147483647,46.7
569,5,2,522838,2147483647,46.7
570,5,2,522852,2147483647,46.7
571,5,2,522863,2147483647,46.7
572,5,2,522927,2147483647,46.7
573,5,2,522969,2147483647,46.7
574,5,2,522972,2147483647,46.7
575,5,2,522991,2147483647,46.7
576,5,2,522997,2147483647,46.7
577,5,2,523019,2147483647,46.7
578,5,2,523039,2147483647,46.7
579,5,2,523044,2147483647,46.7
580,5,2,523086,2147483647,46.7
581,5,2,523141,2147483647,46.7
582,5,2,523143,2147483647,46.7
583,5,2,523185,2147483647,46.7
584,5,2,523189,2147483647,46.7
585,5,2,523205,2147483647,46.7
586,5,2,523207,2147483647,46.7
587,5,2,523235,2147483647,46.7
588,5,2,523253,2147483647,46.7
589,5,2,523270,2147483647,46.7
590,5,2,523308,2147483647,46.7
591,5,2,523311,2147483647,46.7
592,5,2,523318,2147483647,46.7
593,5,2,523329,2147483647,46.7
594,5,2,523381,2147483647,46.7
595,5,2,523384,2147483647,46.7
596,5,2,523400,2147483647,46.7
597,5,2,523439,2147483647,46.7
598,5,2,523446,2147483647,46.7
599,5,2,523467,2147483647,46.7
600,5,2,523472,2147483647,46.7
601,5,2,523479,2147483647,46.7
602,5,2,523485,2147483647,46.7
603,5,2,523491,2147483647,46.7
604,5,2,523506,2147483647,46.7
605,5,2,523526,2147483647,46.7
606,5,2,523545,2147483647,46.7
607,5,2,523572,2147483647,46.7
608,5,2,523630,2147483647,46.7
609,5,2,523631,2147483647,46.7
610,5,2,523633,2147483647,46.7
611,5,2,523651,2147483647,46.7
612,5,2,523677,2147483647,46.7
613,5,2,523682,2147483647,46.7
614,5,2,523697,2147483647,46.7
615,5,2,523702,2147483647,46.7
616,5,2,523705,2147483647,46.7
617,5,2,523739,2147483647,46.7
618,5,2,523806,2147483647,46.7
619,5,2,523814,2147483647,46.7
620,5,2,523818,2147483647,46.7
621,5,2,523820,2147483647,46.7
622,5,2,523824,2147483647,46.7
623,5,2,523825,2147483647,46.7
624,5,2,523858,2147483647,46.7
625,5,2,523864,2147483647,46.7
626,5,2,523875,2147483647,46.7
627,5,2,523922,2147483647,46.7
628,5,2,523959,2147483647,46.7
629,5,2,523967,2147483647,46.7
630,5,2,523984,2147483647,46.7
